Countries and regions,Doses administered,Enough for % of people,given 1+ dose,fully vaccinated,Daily rate of doses administered
Sierra Leone,221110,1.4,2.3,0.5,2296
Benin,214396,0.9,1.3,0.2,5496
Gambia,201835,4.3,8.4,7.1,4278
Curaçao,186793,57.3,60.0,54.6,157
Central African Republic,185678,2.0,3.0,0.2,7109
Bahamas,184461,24.2,30.0,18.4,611
Gabon,177392,4.3,4.9,3.7,1984
Papua New Guinea,164776,1.0,1.4,0.5,2517
Aruba,155609,69.5,72.4,66.5,148
Jersey,150891,–,–,–,78
Samoa,149431,37.2,49.3,25.0,981
Seychelles,148402,77.3,80.5,74.1,154
DR Congo,134860,0.1,0.1,0.1,1463
Isle of Man,130266,76.6,77.0,75.1,193
Chad,123052,0.4,0.6,0.2,4586
Cayman Islands,109789,84.5,84.4,84.4,983
Greenland,102357,89.8,124.5,64.3,300
Guernsey,101759,–,–,–,41
South Sudan,100621,0.4,0.5,0.2,1899
Solomon Islands,97744,7.6,11.6,3.6,2902
Guinea-Bissau,94715,2.7,4.9,0.4,3529
Andorra,93430,60.7,67.0,54.3,98
Bermuda,86676,68.8,69.6,68.0,60
Antigua and Barbuda,81915,42.2,46.5,38.0,594
Gibraltar,79335,116.7,117.3,116.1,15
St. Lucia,75827,21.1,24.9,17.2,494
Faroe Islands,73872,75.4,77.3,73.4,149
Tonga,73603,36.8,46.1,27.5,274
Sao Tome and Principe,73223,17.2,25.8,8.5,2365
Micronesia,71686,34.5,41.6,–,341
Djibouti,67229,3.1,3.8,2.4,174
Haiti,61545,0.3,0.4,0.2,405
Turks & Caicos,52374,68.9,72.2,65.6,77
Grenada,51610,23.7,28.2,19.1,496
Monaco,49980,64.1,68.4,59.8,120
Sint Maarten,49159,58.5,61.1,55.9,40
Saint Kitts and Nevis,47098,41.3,44.2,38.5,31
San Marino,47084,69.2,71.8,71.8,14
Dominica,44624,31.4,33.3,29.6,82
Turkmenistan,41993,0.4,0.6,0.2,–
St. Vincent and the Grenadines,33077,15.0,18.2,11.9,109
Anguilla,18584,61.9,63.3,60.6,2
Nauru,14863,57.2,58.6,55.8,4
St. Helena,7892,65.8,72.7,58.9,8
Falkland Islands,4407,73.5,87.7,59.2,202
Montserrat,2856,28.6,29.4,27.7,2
Eritrea,–,–,–,–,–
